title,description,appointment_date,appointment_time,end_time,category,priority,status,room,patient_id,assigned_to,recurring,recurring_interval,notes,created_by
Termin 78,Auto-generated,2026-03-19,15:00:00,16:00:00,dokumentation,hoch,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 79,Auto-generated,2026-03-20,16:00:00,17:00:00,planning,mittel,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 80,Auto-generated,2026-03-21,17:00:00,18:00:00,sonstiges,niedrig,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 81,Auto-generated,2026-03-22,08:00:00,09:00:00,sprint-planung,hoch,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 82,Auto-generated,2026-03-23,09:00:00,10:00:00,team-meeting,mittel,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 83,Auto-generated,2026-03-24,10:00:00,11:00:00,code-review,niedrig,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 84,Auto-generated,2026-03-25,11:00:00,12:00:00,deployment,hoch,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 85,Auto-generated,2026-03-26,12:00:00,13:00:00,testing,mittel,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 86,Auto-generated,2026-03-27,13:00:00,14:00:00,dokumentation,niedrig,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 87,Auto-generated,2026-03-28,14:00:00,15:00:00,planning,hoch,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 88,Auto-generated,2026-03-29,15:00:00,16:00:00,sonstiges,mittel,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 89,Auto-generated,2026-03-30,16:00:00,17:00:00,sprint-planung,niedrig,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 90,Auto-generated,2026-03-31,17:00:00,18:00:00,team-meeting,hoch,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
Termin 91,Auto-generated,2026-04-01,08:00:00,09:00:00,code-review,mittel,geplant,A101,,staff-1,FALSE,,Auto-generated,admin-1
Termin 92,Auto-generated,2026-04-02,09:00:00,10:00:00,deployment,niedrig,geplant,A102,,staff-1,FALSE,,Auto-generated,admin-1
Termin 93,Auto-generated,2026-04-03,10:00:00,11:00:00,testing,hoch,geplant,A103,,staff-1,FALSE,,Auto-generated,admin-1
Termin 94,Auto-generated,2026-04-04,11:00:00,12:00:00,dokumentation,mittel,geplant,A104,,staff-1,FALSE,,Auto-generated,admin-1
Termin 95,Auto-generated,2026-04-05,12:00:00,13:00:00,planning,niedrig,geplant,A105,,staff-1,FALSE,,Auto-generated,admin-1
Termin 96,Auto-generated,2026-04-06,13:00:00,14:00:00,sonstiges,hoch,geplant,A106,,staff-1,FALSE,,Auto-generated,admin-1
Termin 97,Auto-generated,2026-04-07,14:00:00,15:00:00,sprint-planung,mittel,geplant,A107,,staff-1,FALSE,,Auto-generated,admin-1
Termin 98,Auto-generated,2026-04-08,15:00:00,16:00:00,team-meeting,niedrig,geplant,A108,,staff-1,FALSE,,Auto-generated,admin-1
Termin 99,Auto-generated,2026-04-09,16:00:00,17:00:00,code-review,hoch,geplant,A109,,staff-1,FALSE,,Auto-generated,admin-1
Termin 100,Auto-generated,2026-04-10,17:00:00,18:00:00,deployment,mittel,geplant,A110,,staff-1,FALSE,,Auto-generated,admin-1
